ProjectID,ProjectName,Description,StartDate,EndDate,ManagerID
306,Music Therapy Sessions #306,Project For Music Therapy Sessions #306,2024-07-05,2024-10-07,40
307,Hospital Fundraising Team #307,Project For Hospital Fundraising Team #307,2024-11-17,2025-03-27,22
308,NICU Baby Cuddler #308,Project For NICU Baby Cuddler #308,2024-04-15,2024-06-02,8
309,Blood Donation Drive #309,Project For Blood Donation Drive #309,2024-11-07,2025-01-08,38
310,Emergency Room Assistance #310,Project For Emergency Room Assistance #310,2024-04-09,2024-09-16,47
311,Child Life Volunteer Program #311,Project For Child Life Volunteer Program #311,2024-03-22,2024-04-30,26
312,Cancer Support Group #312,Project For Cancer Support Group #312,2024-02-15,2024-06-30,11
313,Hospital Fundraising Team #313,Project For Hospital Fundraising Team #313,2024-04-05,2024-08-28,9
314,Therapy Dog Visits #314,Project For Therapy Dog Visits #314,2024-09-04,2025-01-31,27
315,Reading to Patients #315,Project For Reading to Patients #315,2024-08-11,2025-01-10,35
316,Hospital Greeter Program #316,Project For Hospital Greeter Program #316,2024-03-26,2024-05-10,44
317,Cancer Support Group #317,Project For Cancer Support Group #317,2024-06-25,2024-11-05,17
318,Elderly Companionship #318,Project For Elderly Companionship #318,2024-05-07,2024-06-16,8
319,Wheelchair Assistance #319,Project For Wheelchair Assistance #319,2024-05-18,2024-08-03,14
320,Language Interpretation for Patients #320,Project For Language Interpretation for Patients #320,2024-08-16,2024-11-08,27
321,Child Life Volunteer Program #321,Project For Child Life Volunteer Program #321,2024-05-28,2024-10-02,33
322,Music Therapy Sessions #322,Project For Music Therapy Sessions #322,2024-12-18,2025-05-07,28
323,Elderly Companionship #323,Project For Elderly Companionship #323,2024-10-14,2025-03-05,44
324,Hospital Fundraising Team #324,Project For Hospital Fundraising Team #324,2024-05-19,2024-09-30,6
325,Pediatric Playtime #325,Project For Pediatric Playtime #325,2024-12-13,2025-04-14,49
326,Language Interpretation for Patients #326,Project For Language Interpretation for Patients #326,2024-02-09,2024-05-31,50
327,Therapy Dog Visits #327,Project For Therapy Dog Visits #327,2024-05-11,2024-06-18,33
328,Hospital Fundraising Team #328,Project For Hospital Fundraising Team #328,2024-01-06,2024-07-02,32
329,Post-Surgery Assistance #329,Project For Post-Surgery Assistance #329,2024-04-05,2024-09-02,25
330,Elderly Companionship #330,Project For Elderly Companionship #330,2024-09-18,2025-02-10,37
331,Therapy Dog Visits #331,Project For Therapy Dog Visits #331,2024-05-01,2024-09-27,46
332,Reading to Patients #332,Project For Reading to Patients #332,2024-03-11,2024-04-25,44
333,Blood Donation Drive #333,Project For Blood Donation Drive #333,2024-07-19,2024-11-18,29
334,NICU Baby Cuddler #334,Project For NICU Baby Cuddler #334,2024-09-20,2025-01-24,36
335,Post-Surgery Assistance #335,Project For Post-Surgery Assistance #335,2024-02-24,2024-06-28,42
336,Support for Families #336,Project For Support for Families #336,2024-02-13,2024-08-02,2
337,Patient Transport Services #337,Project For Patient Transport Services #337,2024-08-12,2024-09-18,46
338,Therapy Dog Visits #338,Project For Therapy Dog Visits #338,2024-04-10,2024-07-06,42
339,Music Therapy Sessions #339,Project For Music Therapy Sessions #339,2024-04-06,2024-09-12,7
340,Hospital Fundraising Team #340,Project For Hospital Fundraising Team #340,2024-05-27,2024-07-25,37
341,Wheelchair Assistance #341,Project For Wheelchair Assistance #341,2024-04-12,2024-08-07,32
342,Patient Transport Services #342,Project For Patient Transport Services #342,2024-09-19,2024-10-27,2
343,Art Therapy for Patients #343,Project For Art Therapy for Patients #343,2024-09-01,2024-10-21,33
344,Cancer Support Group #344,Project For Cancer Support Group #344,2024-02-21,2024-08-07,47
345,Blood Donation Drive #345,Project For Blood Donation Drive #345,2024-11-25,2025-01-18,9
346,Therapy Dog Visits #346,Project For Therapy Dog Visits #346,2024-06-19,2024-07-20,49
347,Mental Health Awareness #347,Project For Mental Health Awareness #347,2024-03-06,2024-06-04,27
348,Hospital Greeter Program #348,Project For Hospital Greeter Program #348,2024-02-04,2024-06-02,50
349,Language Interpretation for Patients #349,Project For Language Interpretation for Patients #349,2024-06-13,2024-07-27,12
350,Elderly Companionship #350,Project For Elderly Companionship #350,2024-05-10,2024-07-19,47
351,Emergency Room Assistance #351,Project For Emergency Room Assistance #351,2024-06-12,2024-10-26,29
352,Patient Transport Services #352,Project For Patient Transport Services #352,2024-11-22,2025-04-08,46
353,Hospital Fundraising Team #353,Project For Hospital Fundraising Team #353,2024-07-02,2024-12-10,10
354,Emergency Room Assistance #354,Project For Emergency Room Assistance #354,2024-06-13,2024-09-28,5
355,Therapy Dog Visits #355,Project For Therapy Dog Visits #355,2024-04-09,2024-05-29,24
356,Child Life Volunteer Program #356,Project For Child Life Volunteer Program #356,2024-04-05,2024-08-25,2
357,Post-Surgery Assistance #357,Project For Post-Surgery Assistance #357,2024-02-14,2024-06-27,7
358,Patient Transport Services #358,Project For Patient Transport Services #358,2024-09-07,2025-01-26,50
359,Pediatric Playtime #359,Project For Pediatric Playtime #359,2024-12-02,2025-04-23,9
360,Blood Donation Drive #360,Project For Blood Donation Drive #360,2024-12-28,2025-05-12,27
361,Elderly Companionship #361,Project For Elderly Companionship #361,2024-04-08,2024-06-19,30
362,Patient Transport Services #362,Project For Patient Transport Services #362,2024-11-05,2025-04-23,41
363,Patient Transport Services #363,Project For Patient Transport Services #363,2024-01-25,2024-04-29,28
364,Blood Donation Drive #364,Project For Blood Donation Drive #364,2024-11-01,2024-12-03,20
365,Music Therapy Sessions #365,Project For Music Therapy Sessions #365,2024-06-01,2024-10-08,4
366,Mental Health Awareness #366,Project For Mental Health Awareness #366,2024-06-20,2024-08-30,20
367,Art Therapy for Patients #367,Project For Art Therapy for Patients #367,2024-03-08,2024-09-03,21
368,Art Therapy for Patients #368,Project For Art Therapy for Patients #368,2024-09-30,2025-03-02,50
369,Art Therapy for Patients #369,Project For Art Therapy for Patients #369,2024-03-09,2024-08-02,19
370,Mental Health Awareness #370,Project For Mental Health Awareness #370,2024-07-24,2024-10-11,34
371,Mental Health Awareness #371,Project For Mental Health Awareness #371,2024-11-29,2025-02-01,11
372,Wheelchair Assistance #372,Project For Wheelchair Assistance #372,2024-01-27,2024-03-10,29
373,Cancer Support Group #373,Project For Cancer Support Group #373,2024-07-03,2024-11-25,40
374,Elderly Companionship #374,Project For Elderly Companionship #374,2024-07-22,2024-11-11,28
375,Music Therapy Sessions #375,Project For Music Therapy Sessions #375,2024-05-01,2024-07-29,41
376,Elderly Companionship #376,Project For Elderly Companionship #376,2024-03-21,2024-08-23,41
377,Cancer Support Group #377,Project For Cancer Support Group #377,2024-07-27,2024-10-22,7
378,Music Therapy Sessions #378,Project For Music Therapy Sessions #378,2024-09-05,2024-12-08,29
379,Language Interpretation for Patients #379,Project For Language Interpretation for Patients #379,2024-12-15,2025-06-12,31
380,Pediatric Playtime #380,Project For Pediatric Playtime #380,2024-02-09,2024-07-24,42
381,Reading to Patients #381,Project For Reading to Patients #381,2024-10-24,2025-03-17,44
382,Child Life Volunteer Program #382,Project For Child Life Volunteer Program #382,2024-11-23,2025-02-17,12
383,Elderly Companionship #383,Project For Elderly Companionship #383,2024-06-21,2024-10-04,43
384,Cancer Support Group #384,Project For Cancer Support Group #384,2024-11-22,2025-02-09,42
385,Language Interpretation for Patients #385,Project For Language Interpretation for Patients #385,2024-03-29,2024-06-15,18
386,Child Life Volunteer Program #386,Project For Child Life Volunteer Program #386,2024-07-26,2024-10-08,39
387,Child Life Volunteer Program #387,Project For Child Life Volunteer Program #387,2024-04-01,2024-05-11,5
388,Blood Donation Drive #388,Project For Blood Donation Drive #388,2024-05-23,2024-11-09,3
389,Mental Health Awareness #389,Project For Mental Health Awareness #389,2024-10-15,2025-02-04,13
390,Art Therapy for Patients #390,Project For Art Therapy for Patients #390,2024-09-11,2025-02-23,21
391,Emergency Room Assistance #391,Project For Emergency Room Assistance #391,2024-04-23,2024-07-01,26
392,Language Interpretation for Patients #392,Project For Language Interpretation for Patients #392,2024-11-14,2025-04-22,28
393,Hospital Fundraising Team #393,Project For Hospital Fundraising Team #393,2024-11-11,2025-05-01,22
394,Support for Families #394,Project For Support for Families #394,2024-01-08,2024-04-10,17
395,Cancer Support Group #395,Project For Cancer Support Group #395,2024-02-22,2024-05-30,2
396,Mental Health Awareness #396,Project For Mental Health Awareness #396,2024-03-17,2024-06-16,40
397,Hospital Greeter Program #397,Project For Hospital Greeter Program #397,2024-04-29,2024-09-20,19
398,Post-Surgery Assistance #398,Project For Post-Surgery Assistance #398,2024-08-08,2024-09-28,22
399,Language Interpretation for Patients #399,Project For Language Interpretation for Patients #399,2024-11-04,2025-01-01,34
400,Reading to Patients #400,Project For Reading to Patients #400,2024-06-17,2024-10-13,17
