TrainingID,TrainingName,TrainingDate,Description
309,Geriatric Psychiatry Training,2024-01-26,Geriatric Psychiatry Training description for healthcare purposes.
310,Acute Care Nurse Practitioner Certification,2025-03-14,Acute Care Nurse Practitioner Certification description for healthcare purposes.
311,Elderly Patient Care Techniques,2024-04-23,Elderly Patient Care Techniques description for healthcare purposes.
312,Healthcare Facility Management,2025-01-29,Healthcare Facility Management description for healthcare purposes.
313,Patient Assessment and Diagnosis,2024-10-28,Patient Assessment and Diagnosis description for healthcare purposes.
314,Trauma Nursing Care,2025-11-27,Trauma Nursing Care description for healthcare purposes.
315,Pathology Technician Certification,2025-06-15,Pathology Technician Certification description for healthcare purposes.
316,Clinical Data Analysis for Healthcare,2025-05-04,Clinical Data Analysis for Healthcare description for healthcare purposes.
317,Emergency Medical Response Training,2025-06-29,Emergency Medical Response Training description for healthcare purposes.
318,Healthcare Marketing Skills,2025-03-16,Healthcare Marketing Skills description for healthcare purposes.
319,Medical Equipment Maintenance,2024-11-14,Medical Equipment Maintenance description for healthcare purposes.
320,Neonatal Intensive Care Unit (NICU) Training,2025-01-13,Neonatal Intensive Care Unit (NICU) Training description for healthcare purposes.
321,Healthcare Robotics Training,2025-02-19,Healthcare Robotics Training description for healthcare purposes.
322,Veterinary Surgery Assistant,2025-10-13,Veterinary Surgery Assistant description for healthcare purposes.
323,Mental Health Counseling Certification,2025-09-07,Mental Health Counseling Certification description for healthcare purposes.
324,Pharmaceutical Research and Development,2025-07-03,Pharmaceutical Research and Development description for healthcare purposes.
325,CPR and First Aid Certification,2025-08-21,CPR and First Aid Certification description for healthcare purposes.
326,Emergency Response Training,2024-10-30,Emergency Response Training description for healthcare purposes.
327,X-ray Technician Certification,2024-08-31,X-ray Technician Certification description for healthcare purposes.
328,Medical Record Keeping,2025-04-07,Medical Record Keeping description for healthcare purposes.
329,Nursing Assistant Skills,2024-09-22,Nursing Assistant Skills description for healthcare purposes.
330,Advanced Life Support (ALS) Training,2025-02-20,Advanced Life Support (ALS) Training description for healthcare purposes.
331,Pharmacy Assistant Training,2025-11-09,Pharmacy Assistant Training description for healthcare purposes.
332,Surgical Support Training,2024-04-24,Surgical Support Training description for healthcare purposes.
333,Patient Care Assistant Certification,2024-04-30,Patient Care Assistant Certification description for healthcare purposes.
334,Infection Control Training,2024-03-11,Infection Control Training description for healthcare purposes.
335,Wound Care Management,2024-03-27,Wound Care Management description for healthcare purposes.
336,Medical Equipment Handling,2024-02-15,Medical Equipment Handling description for healthcare purposes.
337,Clinical Laboratory Technician Training,2024-01-24,Clinical Laboratory Technician Training description for healthcare purposes.
338,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers,2025-06-18,Cardiopulmonary Resuscitation (CPR) for Healthcare Workers description for healthcare purposes.
339,Pediatric Nursing Care,2025-10-13,Pediatric Nursing Care description for healthcare purposes.
340,Geriatric Care Training,2024-07-30,Geriatric Care Training description for healthcare purposes.
341,Blood Transfusion Safety and Procedures,2024-12-09,Blood Transfusion Safety and Procedures description for healthcare purposes.
342,Orthopedic Care Assistant,2024-03-11,Orthopedic Care Assistant description for healthcare purposes.
343,Respiratory Therapy Certification,2024-07-13,Respiratory Therapy Certification description for healthcare purposes.
344,Mental Health First Aid,2025-05-15,Mental Health First Aid description for healthcare purposes.
345,Hospital Administration Skills,2024-10-06,Hospital Administration Skills description for healthcare purposes.
346,Phlebotomy Technician Training,2025-10-20,Phlebotomy Technician Training description for healthcare purposes.
347,Patient Transportation Training,2024-08-11,Patient Transportation Training description for healthcare purposes.
348,Sterile Processing Technician Certification,2025-04-20,Sterile Processing Technician Certification description for healthcare purposes.
349,Radiology Safety Procedures,2024-03-06,Radiology Safety Procedures description for healthcare purposes.
350,Rehabilitation Assistant Training,2024-07-19,Rehabilitation Assistant Training description for healthcare purposes.
351,Physical Therapy Aide Training,2024-08-04,Physical Therapy Aide Training description for healthcare purposes.
352,Medical Billing and Coding,2025-09-25,Medical Billing and Coding description for healthcare purposes.
353,Nutrition for Healthcare Workers,2024-01-23,Nutrition for Healthcare Workers description for healthcare purposes.
354,Emergency Medical Technician (EMT) Training,2025-01-21,Emergency Medical Technician (EMT) Training description for healthcare purposes.
355,Critical Care Nursing,2024-11-21,Critical Care Nursing description for healthcare purposes.
356,Pain Management Techniques,2024-12-03,Pain Management Techniques description for healthcare purposes.
357,Audiology Assistant Training,2024-09-19,Audiology Assistant Training description for healthcare purposes.
358,Optometry Technician Certification,2025-05-11,Optometry Technician Certification description for healthcare purposes.
359,Palliative Care Training,2025-04-28,Palliative Care Training description for healthcare purposes.
360,Diabetes Management for Healthcare Providers,2024-04-20,Diabetes Management for Healthcare Providers description for healthcare purposes.
361,Emergency Room (ER) Procedures,2024-01-11,Emergency Room (ER) Procedures description for healthcare purposes.
362,Advanced Nursing Practices,2024-12-18,Advanced Nursing Practices description for healthcare purposes.
363,Childbirth Education for Healthcare Workers,2025-11-16,Childbirth Education for Healthcare Workers description for healthcare purposes.
364,Healthcare Leadership and Management Training,2024-11-04,Healthcare Leadership and Management Training description for healthcare purposes.
365,Laboratory Safety and Procedures,2025-07-03,Laboratory Safety and Procedures description for healthcare purposes.
366,Medical Ethics and Legal Responsibilities,2024-04-14,Medical Ethics and Legal Responsibilities description for healthcare purposes.
367,Patient Safety Training,2024-10-14,Patient Safety Training description for healthcare purposes.
368,Hygiene and Infection Control in Healthcare,2024-03-14,Hygiene and Infection Control in Healthcare description for healthcare purposes.
369,Behavioral Health Training,2024-04-15,Behavioral Health Training description for healthcare purposes.
370,Trauma Care and Management,2025-04-13,Trauma Care and Management description for healthcare purposes.
371,Health and Wellness Coaching,2024-10-02,Health and Wellness Coaching description for healthcare purposes.
372,End-of-Life Care Training,2025-12-17,End-of-Life Care Training description for healthcare purposes.
373,Pediatric First Aid and CPR,2025-12-16,Pediatric First Aid and CPR description for healthcare purposes.
374,Medical Research Assistant Training,2024-02-13,Medical Research Assistant Training description for healthcare purposes.
375,Healthcare Quality Assurance,2025-10-19,Healthcare Quality Assurance description for healthcare purposes.
376,Clinical Trials Management,2025-11-20,Clinical Trials Management description for healthcare purposes.
377,Cardiac Rehabilitation Training,2024-12-09,Cardiac Rehabilitation Training description for healthcare purposes.
378,Injury Prevention and Safety in Healthcare,2024-08-09,Injury Prevention and Safety in Healthcare description for healthcare purposes.
379,Healthcare IT and Data Management,2024-10-14,Healthcare IT and Data Management description for healthcare purposes.
380,Pain and Symptom Management for Healthcare Workers,2024-10-22,Pain and Symptom Management for Healthcare Workers description for healthcare purposes.
381,Community Health Training,2025-11-23,Community Health Training description for healthcare purposes.
382,Surgical Assistant Training,2024-03-04,Surgical Assistant Training description for healthcare purposes.
383,Healthcare Communication Skills,2024-12-01,Healthcare Communication Skills description for healthcare purposes.
384,Mental Health Support in Healthcare,2024-03-04,Mental Health Support in Healthcare description for healthcare purposes.
385,Health Information Management,2024-08-03,Health Information Management description for healthcare purposes.
386,Emergency Disaster Management,2025-06-28,Emergency Disaster Management description for healthcare purposes.
387,Personal Protective Equipment (PPE) Training,2025-11-30,Personal Protective Equipment (PPE) Training description for healthcare purposes.
388,Radiation Safety and Protection,2024-11-15,Radiation Safety and Protection description for healthcare purposes.
389,Anesthesia Technician Certification,2025-05-19,Anesthesia Technician Certification description for healthcare purposes.
390,Patient Advocacy Training,2024-01-16,Patient Advocacy Training description for healthcare purposes.
391,Chronic Disease Management Training,2024-10-31,Chronic Disease Management Training description for healthcare purposes.
392,Gastroenterology Assistant Training,2025-03-12,Gastroenterology Assistant Training description for healthcare purposes.
393,Dermatology Assistant Certification,2025-07-21,Dermatology Assistant Certification description for healthcare purposes.
394,Laboratory Technician Skills,2025-07-11,Laboratory Technician Skills description for healthcare purposes.
395,Ambulance Driving and Safety Training,2024-04-07,Ambulance Driving and Safety Training description for healthcare purposes.
396,Clinical Research Assistant Skills,2025-08-20,Clinical Research Assistant Skills description for healthcare purposes.
397,Maternity Care Assistant Training,2025-08-26,Maternity Care Assistant Training description for healthcare purposes.
398,Allergy and Immunology Assistant Training,2024-03-31,Allergy and Immunology Assistant Training description for healthcare purposes.
399,Speech and Language Pathology Assistant,2025-02-12,Speech and Language Pathology Assistant description for healthcare purposes.
400,Neurology Assistant Training,2025-02-11,Neurology Assistant Training description for healthcare purposes.
